Date,Close
2024-01-02,10000.0
2024-01-03,10024.38
2024-01-04,9940.98
2024-01-05,10014.32
2024-01-06,9883.17
2024-01-07,9918.58
2024-01-08,9928.02
2024-01-09,10018.67
2024-01-10,10062.82
2024-01-11,10135.82
2024-01-12,10203.78
2024-01-13,10315.29
2024-01-14,10350.61
2024-01-15,10487.54
2024-01-16,10505.61
2024-01-17,10584.53
2024-01-18,10657.06
2024-01-19,10881.9
2024-01-20,10918.48
2024-01-21,11020.87
2024-01-22,11056.9
2024-01-23,11019.96
2024-01-24,11083.71
2024-01-25,11008.81
2024-01-26,10958.33
2024-01-27,10976.38
2024-01-28,11068.85
2024-01-29,10586.58
2024-01-30,10763.38
2024-01-31,10750.04
2024-02-01,10679.36
2024-02-02,10818.13
2024-02-03,10946.18
2024-02-04,10979.89
2024-02-05,11069.31
2024-02-06,11182.11
2024-02-07,11195.12
2024-02-08,11209.44
2024-02-09,11129.52
2024-02-10,11185.75
2024-02-11,11270.47
2024-02-12,11328.7
2024-02-13,11340.87
2024-02-14,11306.74
2024-02-15,11270.5
2024-02-16,11315.67
2024-02-17,11341.49
2024-02-18,11410.03
2024-02-19,11437.99
2024-02-20,11461.78
2024-02-21,11355.05
2024-02-22,11283.64
2024-02-23,11217.16
2024-02-24,11345.89
2024-02-25,11455.71
2024-02-26,11494.94
2024-02-27,11501.97
2024-02-28,11365.98
2024-02-29,11416.2
2024-03-01,11300.37
2024-03-02,11273.1
2024-03-03,11277.68
2024-03-04,11271.42
2024-03-05,11277.96
2024-03-06,11418.52
2024-03-07,11504.49
2024-03-08,11448.33
2024-03-09,11364.47
2024-03-10,11255.69
2024-03-11,11260.87
2024-03-12,11176.79
2024-03-13,11265.33
2024-03-14,11558.73
2024-03-15,11568.99
2024-03-16,11643.82
2024-03-17,11642.45
2024-03-18,11614.34
2024-03-19,11625.8
2024-03-20,11546.98
2024-03-21,11513.42
2024-03-22,11541.7
2024-03-23,11574.78
2024-03-24,11557.04
2024-03-25,11459.91
2024-03-26,11673.36
2024-03-27,11813.72
2024-03-28,11977.0
2024-03-29,12035.74
2024-03-30,12022.14
2024-03-31,11967.48
2024-04-01,11850.16
